word,romanization,context
경험,gyeongheom,**경험** 이번 여행은 정말 좋은 경험이었어요. → Эта поездка была действительно хорошим опытом.
문화,munhwa,**문화** 나라마다 문화가 다릅니다. → В каждой стране своя культура.
사회,sahoe,**사회** 현대 사회는 빠르게 변하고 있습니다. → Современное общество быстро меняется.
환경,hwangyeong,**환경** 우리는 환경을 보호해야 합니다. → Мы должны защищать окружающую среду.
참여하다,chamyeohada,**참여하다** 많은 사람들이 봉사 활동에 참여했어요. → Многие люди приняли участие в волонтёрской акции.
표현하다,pyohyeonhada,**표현하다** 자신의 감정을 솔직하게 표현하세요. → Выражайте свои чувства честно.
복잡하다,bokjapada,"**복잡하다** 이 문제는 생각보다 복잡해요. → Эта проблема сложнее, чем я думал."
다양하다,dayanghada,**다양하다** 이 식당에는 메뉴가 다양해요. → В этом ресторане разнообразное меню.
건강,geongang,**건강** 규칙적인 운동은 건강에 좋습니다. → Регулярные занятия спортом полезны для здоровья.
취미,chwimi,**취미** 제 취미는 사진을 찍는 것입니다. → Моё хобби — фотографировать.
관심,gwansim,**관심** 저는 한국 역사에 관심이 많아요. → Я очень интересуюсь корейской историей.
관계,gwangye,**관계** 두 나라의 관계가 좋아졌어요. → Отношения между двумя странами улучшились.
정보,jeongbo,**정보** 인터넷에서 유용한 정보를 찾았어요. → Я нашёл полезную информацию в интернете.
기술,gisul,**기술** 과학 기술이 빠르게 발전하고 있어요. → Наука и технологии быстро развиваются.
경제,gyeongje,**경제** 요즘 경제 상황이 어렵습니다. → В последнее время экономическая ситуация тяжёлая.
정치,jeongchi,**정치** 젊은 사람들도 정치에 관심을 가져야 해요. → Молодёжи тоже стоит интересоваться политикой.
교육,gyoyuk,**교육** 교육은 아이들의 미래에 중요합니다. → Образование важно для будущего детей.
예술,yesul,**예술** 그는 예술에 재능이 있어요. → У него есть талант к искусству.
전통,jeontong,**전통** 우리는 전통을 지켜야 합니다. → Мы должны хранить традиции.
발전,baljeon,**발전** 이 도시는 빠르게 발전했어요. → Этот город стремительно развивался.
변화,byeonhwa,**변화** 사회에 큰 변화가 생겼어요. → В обществе произошли большие перемены.
영향,yeonghyang,**영향** 날씨는 기분에 영향을 줍니다. → Погода влияет на настроение.
문제,munje,**문제** 우리에게 큰 문제가 생겼어요. → У нас возникла большая проблема.
해결하다,haegyeolhada,**해결하다** 그들은 대화로 문제를 해결했어요. → Они решили проблему с помощью разговора.
준비하다,junbihada,**준비하다** 시험을 열심히 준비하고 있어요. → Я усердно готовлюсь к экзамену.
이용하다,iyonghada,**이용하다** 저는 매일 지하철을 이용해요. → Я каждый день пользуюсь метро.
소개하다,sogaehada,**소개하다** 새로 온 친구를 반 아이들에게 소개했어요. → Я представил нового друга одноклассникам.
설명하다,seolmyeonghada,**설명하다** 선생님이 문법을 자세히 설명했어요. → Учитель подробно объяснил грамматику.
선택하다,seontaekada,**선택하다** 두 가지 중에서 하나를 선택하세요. → Выберите одно из двух.
결정하다,gyeoljeonghada,**결정하다** 저는 유학을 가기로 결정했어요. → Я решил поехать учиться за границу.
이해하다,ihaehada,**이해하다** 저는 그의 마음을 이해할 수 있어요. → Я могу понять его чувства.
기억하다,gieokada,"**기억하다** 어릴 때 일을 아직도 기억해요. → Я до сих пор помню то, что было в детстве."
노력하다,noryeokada,**노력하다** 목표를 이루기 위해 노력하고 있어요. → Я стараюсь достичь своей цели.
성공하다,seonggonghada,**성공하다** 그는 마침내 사업에 성공했어요. → Он наконец добился успеха в бизнесе.
중요하다,jungyohada,**중요하다** 건강이 무엇보다 중요해요. → Здоровье важнее всего.
필요하다,piryohada,**필요하다** 지금 당신의 도움이 필요해요. → Мне сейчас нужна твоя помощь.
가능하다,ganeunghada,"**가능하다** 노력하면 무엇이든 가능해요. → Если стараться, всё возможно."
특별하다,teukbyeolhada,**특별하다** 오늘은 특별한 날이에요. → Сегодня особенный день.
편리하다,pyeollihada,**편리하다** 스마트폰은 생활을 편리하게 만들어요. → Смартфоны делают жизнь удобной.
감정,gamjeong,**감정** 그녀는 감정을 잘 숨기지 못해요. → Она не умеет хорошо скрывать свои эмоции.
성격,seonggyeok,**성격** 제 동생은 성격이 밝아요. → У моего младшего брата жизнерадостный характер.
습관,seupgwan,**습관** 일찍 일어나는 습관을 길렀어요. → Я выработал привычку рано вставать.
태도,taedo,**태도** 그의 태도가 마음에 들지 않아요. → Мне не нравится его отношение.
능력,neungnyeok,**능력** 그녀는 일을 처리하는 능력이 뛰어나요. → У неё выдающиеся способности в решении задач.
기회,gihoe,**기회** 좋은 기회를 놓치지 마세요. → Не упускайте хорошую возможность.
목표,mokpyo,**목표** 저는 올해 목표를 세웠어요. → Я поставил цель на этот год.
방법,bangbeop,**방법** 더 좋은 방법을 찾아봅시다. → Давайте поищем способ получше.
결과,gyeolgwa,**결과** 시험 결과가 나왔어요. → Пришли результаты экзамена.
이유,iyu,"**이유** 늦은 이유를 설명해 주세요. → Пожалуйста, объясните причину опоздания."
상황,sanghwang,**상황** 이런 상황에서는 침착해야 해요. → В такой ситуации нужно сохранять спокойствие.
효과,hyogwa,**효과** 이 약은 효과가 아주 좋아요. → Это лекарство очень эффективно.
세계,segye,**세계** 그는 세계 여러 나라를 여행했어요. → Он путешествовал по многим странам мира.
지역,jiyeok,**지역** 이 지역은 경치가 아름다워요. → В этом регионе красивые пейзажи.
사실,sasil,**사실** 사실 저도 잘 모르겠어요. → На самом деле я и сам не знаю.
대화,daehwa,**대화** 저는 부모님과 자주 대화를 나눠요. → Я часто разговариваю с родителями.
발표하다,balpyohada,**발표하다** 내일 수업 시간에 발표해야 해요. → Завтра на уроке мне нужно выступить с докладом.
심각하다,simgakada,**심각하다** 환경 오염 문제가 점점 심각해지고 있어요. → Проблема загрязнения окружающей среды становится всё серьёзнее.
언론,eollon,**언론** 언론은 사회에서 중요한 역할을 한다. → СМИ играют важную роль в обществе.
광고,gwanggo,"**광고** 텔레비전 광고가 너무 많아서 짜증이 난다. → Рекламы по телевизору так много, что это раздражает."
세대,sedae,**세대** 세대 간의 갈등이 점점 커지고 있다. → Конфликт между поколениями всё больше усиливается.
예상,yesang,**예상** 결과는 우리의 예상과 달랐다. → Результат отличался от наших ожиданий.
기준,gijun,**기준** 회사는 명확한 채용 기준을 가지고 있다. → У компании есть чёткие критерии найма.
과정,gwajeong,**과정** 결과보다 과정이 더 중요하다. → Процесс важнее результата.
분위기,bunwigi,**분위기** 이 카페는 분위기가 아주 좋다. → В этом кафе очень приятная атмосфера.
인상,insang,**인상** 그는 나에게 좋은 인상을 남겼다. → Он оставил на меня хорошее впечатление.
자격,jagyeok,**자격** 그는 이 대회에 참가할 자격이 있다. → У него есть право участвовать в этом соревновании.
주제,juje,**주제** 오늘 토론의 주제는 환경 보호이다. → Тема сегодняшней дискуссии — защита окружающей среды.
자연,jayeon,**자연** 우리는 자연을 보호해야 한다. → Мы должны защищать природу.
예방,yebang,**예방** 병은 치료보다 예방이 중요하다. → Профилактика болезни важнее лечения.
치료,chiryo,**치료** 그 병은 빨리 치료를 받아야 한다. → Эту болезнь нужно скорее начать лечить.
증상,jeungsang,**증상** 감기 증상이 점점 심해졌다. → Симптомы простуды постепенно усилились.
스트레스,seuteureseu,**스트레스** 요즘 일 때문에 스트레스가 많다. → В последнее время из-за работы много стресса.
균형,gyunhyeong,**균형** 일과 생활의 균형을 지키는 것이 어렵다. → Трудно сохранять баланс между работой и жизнью.
질서,jilseo,"**질서** 사람들이 질서를 지키며 줄을 섰다. → Люди встали в очередь, соблюдая порядок."
규칙,gyuchik,**규칙** 모든 학생은 학교 규칙을 지켜야 한다. → Все ученики должны соблюдать школьные правила.
예절,yejeol,**예절** 그는 항상 예절이 바르다. → Он всегда учтив и соблюдает этикет.
극복하다,geukbokhada,**극복하다** 그녀는 많은 어려움을 극복했다. → Она преодолела много трудностей.
유지하다,yujihada,"**유지하다** 건강을 유지하려면 운동을 해야 한다. → Чтобы поддерживать здоровье, нужно заниматься спортом."
개발하다,gaebalhada,**개발하다** 회사는 새로운 제품을 개발하고 있다. → Компания разрабатывает новый продукт.
실천하다,silcheonhada,"**실천하다** 계획을 세우는 것보다 실천하는 것이 어렵다. → Осуществить план труднее, чем его составить."
판단하다,pandanhada,**판단하다** 상황을 정확히 판단하는 것이 중요하다. → Важно правильно оценивать ситуацию.
예측하다,yecheukhada,**예측하다** 미래를 정확히 예측하기는 어렵다. → Трудно точно предсказать будущее.
적응하다,jeogeunghada,**적응하다** 새로운 환경에 적응하는 데 시간이 걸린다. → На адаптацию к новой среде нужно время.
비교하다,bigyohada,**비교하다** 두 제품의 가격을 비교해 보았다. → Я сравнил цены двух товаров.
