word,romanization,context
가족,gajok,**가족** 우리 가족은 모두 네 명이에요. → В нашей семье всего четыре человека.
엄마,eomma,"**엄마** 엄마, 오늘 저녁은 뭐예요? → Мама, что сегодня на ужин?"
어머니,eomeoni,**어머니** 어머니께서 편지를 쓰셨어요. → Мать написала письмо.
아빠,appa,**아빠** 아빠는 아침에 회사에 가셨어요. → Папа утром ушёл на работу.
아버지,abeoji,**아버지** 아버지는 신문을 읽으세요. → Отец читает газету.
형,hyeong,**형** 우리 형은 대학생이에요. → Мой старший брат — студент университета.
오빠,oppa,"**오빠** 오빠, 이것 좀 도와줘. → Брат, помоги-ка мне с этим."
누나,nuna,**누나** 누나가 요리를 아주 잘해요. → Старшая сестра очень хорошо готовит.
언니,eonni,**언니** 언니는 저보다 세 살 많아요. → Старшая сестра на три года старше меня.
동생,dongsaeng,**동생** 제 동생은 아직 초등학생이에요. → Мой младший брат ещё учится в начальной школе.
남동생,namdongsaeng,**남동생** 남동생이 축구를 좋아해요. → Младший брат любит футбол.
여동생,yeodongsaeng,**여동생** 여동생이 지금 자고 있어요. → Младшая сестра сейчас спит.
할머니,halmeoni,**할머니** 할머니께서 옛날이야기를 해 주셨어요. → Бабушка рассказала мне старинную историю.
할아버지,harabeoji,**할아버지** 할아버지는 매일 아침 산책을 하세요. → Дедушка каждое утро гуляет.
아들,adeul,**아들** 그분의 아들은 의사예요. → Его сын — врач.
딸,ttal,**딸** 저는 딸이 둘 있어요. → У меня две дочери.
아내,anae,**아내** 제 아내는 선생님이에요. → Моя жена — учительница.
남편,nampyeon,**남편** 남편이 저녁을 만들어요. → Мой муж готовит ужин.
아이,ai,**아이** 아이가 공원에서 놀아요. → Ребёнок играет в парке.
친구,chingu,**친구** 친구와 같이 영화를 봤어요. → Я посмотрел фильм вместе с другом.
선생님,seonsaengnim,"**선생님** 선생님, 질문이 있어요. → Учитель, у меня есть вопрос."
이웃,iut,**이웃** 옆집 이웃이 참 친절해요. → Сосед из соседнего дома очень приветливый.
부모님,bumonim,**부모님** 부모님께 전화를 자주 드려요. → Я часто звоню родителям.
형제,hyeongje,**형제** 형제가 몇 명이에요? → Сколько у тебя братьев и сестёр?
자매,jamae,**자매** 그 자매는 사이가 아주 좋아요. → Эти сёстры очень хорошо ладят.
부부,bubu,**부부** 저 부부는 정말 행복해 보여요. → Та супружеская пара выглядит очень счастливой.
손자,sonja,**손자** 할머니는 손자를 아주 예뻐하세요. → Бабушка очень любит своего внука.
손녀,sonnyeo,**손녀** 그 할아버지는 손녀가 셋이에요. → У того дедушки три внучки.
삼촌,samchon,**삼촌** 삼촌이 생일 선물을 주셨어요. → Дядя подарил мне подарок на день рождения.
이모,imo,**이모** 이모가 우리 집에 놀러 오셨어요. → Тётя (мамина сестра) пришла к нам в гости.
고모,gomo,**고모** 고모는 부산에 사세요. → Тётя (папина сестра) живёт в Пусане.
사촌,sachon,**사촌** 저는 사촌하고 같이 자랐어요. → Я вырос вместе с двоюродным братом.
