word,romanization,context
분석하다,bunseokhada,**분석하다** 연구진은 수많은 데이터를 세밀하게 분석했다. → Исследовательская группа детально проанализировала множество данных.
논의하다,nonuihada,**논의하다** 우리는 회의에서 그 문제를 오랫동안 논의했다. → На собрании мы долго обсуждали этот вопрос.
개념,gaenyeom,**개념** 이 이론의 핵심 개념을 정확히 이해해야 한다. → Нужно точно понять ключевое понятие этой теории.
관점,gwanjeom,**관점** 같은 사건도 관점에 따라 다르게 해석된다. → Одно и то же событие интерпретируется по-разному в зависимости от точки зрения.
근본적,geunbonjeok,"**근본적** 이 문제를 해결하려면 근본적인 개혁이 필요하다. → Чтобы решить эту проблему, необходимы фундаментальные реформы."
궁극적,gunggeukjeok,**궁극적** 교육의 궁극적인 목표는 인간의 성장이다. → Конечная цель образования — это развитие человека.
상당히,sangdanghi,**상당히** 이번 실험 결과는 상당히 만족스럽다. → Результаты этого эксперимента довольно удовлетворительны.
불구하고,bulguhago,"**불구하고** 악천후에도 불구하고 행사는 예정대로 진행되었다. → Несмотря на плохую погоду, мероприятие прошло по плану."
요인,yoin,**요인** 물가 상승에는 여러 요인이 복합적으로 작용한다. → На рост цен комплексно влияет множество факторов.
현상,hyeonsang,**현상** 고령화는 현대 사회의 대표적인 현상이다. → Старение населения — характерное явление современного общества.
경향,gyeonghyang,**경향** 젊은 세대는 개인주의적 경향을 보인다. → Молодое поколение демонстрирует индивидуалистические тенденции.
측면,cheungmyeon,**측면** 이 정책은 경제적 측면에서 긍정적이다. → Эта политика позитивна с экономической стороны.
전제,jeonje,**전제** 그의 주장은 잘못된 전제에서 출발한다. → Его утверждение исходит из ошибочной предпосылки.
지속적,jisokjeok,**지속적** 지속적인 노력만이 성공을 보장한다. → Только непрерывные усилия гарантируют успех.
명확하다,myeonghwakhada,**명확하다** 그는 자신의 입장을 명확하게 밝혔다. → Он ясно изложил свою позицию.
모호하다,mohohada,"**모호하다** 그 규정은 해석이 모호해서 혼란을 준다. → Толкование этого правила неоднозначно, что вызывает путаницу."
도출하다,dochulhada,**도출하다** 우리는 실험을 통해 중요한 결론을 도출했다. → Мы вывели важное заключение на основе эксперимента.
규명하다,gyumyeonghada,**규명하다** 사고의 원인을 규명하는 데 시간이 걸렸다. → Установление причины происшествия заняло время.
반영하다,banyeonghada,**반영하다** 이 통계는 현실을 정확히 반영하지 못한다. → Эта статистика не отражает реальность точно.
초래하다,choraehada,**초래하다** 무분별한 개발은 환경 파괴를 초래한다. → Бездумное освоение приводит к разрушению окружающей среды.
강조하다,gangjohada,**강조하다** 교수님은 기초의 중요성을 거듭 강조했다. → Профессор неоднократно подчёркивал важность основ.
대체하다,daechehada,**대체하다** 많은 일자리가 기계로 대체되고 있다. → Многие рабочие места заменяются машинами.
