word,romanization,context
김치,gimchi,**김치** 저는 매운 김치를 좋아해요. → Я люблю острую кимчи.
비빔밥,bibimbap,**비빔밥** 점심으로 비빔밥을 먹었어요. → На обед я поел пибимпап.
불고기,bulgogi,**불고기** 오늘 저녁은 불고기예요. → Сегодня на ужин пулькоги.
김밥,gimbap,**김밥** 소풍에 김밥을 싸 갔어요. → На пикник я взял с собой кимпап.
떡볶이,tteokbokki,**떡볶이** 떡볶이가 너무 매워요. → Токпокки слишком острый.
된장찌개,doenjangjjigae,**된장찌개** 엄마가 된장찌개를 끓여요. → Мама варит тэнджан-ччигэ.
라면,ramyeon,**라면** 밤에 라면을 자주 먹어요. → Ночью я часто ем рамён.
김치찌개,gimchijjigae,**김치찌개** 김치찌개는 밥이랑 잘 어울려요. → Кимчи-ччигэ хорошо сочетается с рисом.
삼겹살,samgyeopsal,**삼겹살** 친구들과 삼겹살을 구워 먹었어요. → Мы с друзьями пожарили и поели самгёпсаль.
냉면,naengmyeon,**냉면** 여름에는 냉면이 최고예요. → Летом лучше всего нэнмён.
만두,mandu,**만두** 만두를 쪄서 먹어요. → Я готовлю манду на пару и ем.
잡채,japchae,**잡채** 잔치에 잡채가 빠질 수 없어요. → На празднике никак не обойтись без чапче.
치킨,chikin,**치킨** 저녁에 치킨을 시켰어요. → Вечером я заказал жареную курицу.
밥,bap,**밥** 아침마다 밥을 먹어요. → Каждое утро я ем рис.
국,guk,**국** 국이 아직 뜨거워요. → Суп ещё горячий.
반찬,banchan,**반찬** 이 식당은 반찬이 많이 나와요. → В этом ресторане подают много закусок.
죽,juk,"**죽** 아플 때는 죽을 먹어요. → Когда болею, ем кашу."
채소,chaeso,**채소** 채소를 많이 드세요. → Ешьте побольше овощей.
배추,baechu,**배추** 배추로 김치를 담가요. → Из пекинской капусты делают кимчи.
무,mu,**무** 무를 채 썰어요. → Я нарезаю редьку соломкой.
당근,danggeun,**당근** 당근은 눈에 좋아요. → Морковь полезна для глаз.
양파,yangpa,"**양파** 양파를 썰면 눈물이 나요. → Когда режу лук, текут слёзы."
마늘,maneul,**마늘** 한국 음식에는 마늘이 많이 들어가요. → В корейскую еду кладут много чеснока.
파,pa,**파** 국에 파를 넣었어요. → Я добавил в суп зелёный лук.
감자,gamja,**감자** 감자를 삶아서 먹어요. → Я варю картофель и ем.
오이,oi,**오이** 오이가 아주 신선해요. → Огурец очень свежий.
버섯,beoseot,**버섯** 저는 버섯을 안 좋아해요. → Я не люблю грибы.
고기,gogi,**고기** 고기를 너무 많이 먹지 마세요. → Не ешьте слишком много мяса.
소고기,sogogi,**소고기** 이 소고기는 정말 부드러워요. → Эта говядина очень мягкая.
돼지고기,dwaejigogi,**돼지고기** 돼지고기로 찌개를 만들어요. → Я готовлю ччигэ из свинины.
닭고기,dakgogi,**닭고기** 닭고기는 기름기가 적어요. → В курином мясе мало жира.
생선,saengseon,**생선** 시장에서 생선을 샀어요. → Я купил рыбу на рынке.
계란,gyeran,**계란** 아침에 계란을 두 개 먹었어요. → Утром я съел два яйца.
물,mul,"**물** 물 한 잔 주세요. → Дайте, пожалуйста, стакан воды."
커피,keopi,**커피** 아침에 커피를 마셔요. → Утром я пью кофе.
차,cha,**차** 따뜻한 차 한 잔 어때요? → Как насчёт чашки тёплого чая?
우유,uyu,**우유** 우유를 냉장고에 넣으세요. → Поставьте молоко в холодильник.
주스,juseu,**주스** 아이들은 주스를 좋아해요. → Дети любят сок.
맥주,maekju,**맥주** 시원한 맥주 한 잔 하고 싶어요. → Хочу выпить кружку холодного пива.
소주,soju,**소주** 그는 소주를 한 병 마셨어요. → Он выпил бутылку соджу.
녹차,nokcha,**녹차** 식사 후에 녹차를 마셔요. → После еды я пью зелёный чай.
식당,sikdang,**식당** 이 근처에 좋은 식당이 있어요. → Рядом есть хороший ресторан.
메뉴,menyu,"**메뉴** 메뉴 좀 보여 주세요. → Покажите, пожалуйста, меню."
주문하다,jumunhada,**주문하다** 무엇을 주문하시겠어요? → Что желаете заказать?
맛있다,masitda,**맛있다** 이 음식은 정말 맛있어요. → Эта еда очень вкусная.
배고프다,baegopeuda,**배고프다** 저는 지금 너무 배고파요. → Я сейчас очень голодный.
맛없다,madeopda,**맛없다** 이 음식은 맛없어요. → Эта еда невкусная.
먹다,meokda,**먹다** 밥을 천천히 먹어요. → Я ем медленно.
마시다,masida,**마시다** 물을 많이 마시세요. → Пейте побольше воды.
배부르다,baebureuda,"**배부르다** 많이 먹어서 배불러요. → Я много поел, и теперь сыт."
젓가락,jeotgarak,**젓가락** 젓가락으로 국수를 먹어요. → Я ем лапшу палочками.
숟가락,sutgarak,**숟가락** 숟가락으로 밥을 떠요. → Я набираю рис ложкой.
순두부찌개,sundubujjigae,**순두부찌개** 저는 순두부찌개를 자주 먹어요. → Я часто ем чигэ из мягкого тофу.
갈비,galbi,**갈비** 오늘 저녁에 갈비를 먹어요. → Сегодня вечером мы едим кальби (рёбрышки).
볶음밥,bokkeumbap,**볶음밥** 점심으로 볶음밥을 만들었어요. → На обед я приготовил жареный рис.
전,jeon,**전** 비 오는 날에는 전을 부쳐 먹어요. → В дождливый день жарят и едят чон (корейские оладьи).
두부,dubu,**두부** 두부는 건강에 좋아요. → Тофу полезен для здоровья.
소금,sogeum,**소금** 국에 소금을 조금 넣으세요. → Добавьте в суп немного соли.
설탕,seoltang,**설탕** 커피에 설탕을 두 스푼 넣어요. → Я кладу в кофе две ложки сахара.
간장,ganjang,**간장** 간장을 너무 많이 넣지 마세요. → Не добавляйте слишком много соевого соуса.
고추,gochu,**고추** 이 고추는 정말 매워요. → Этот перец чили очень острый.
국수,guksu,**국수** 생일에는 국수를 먹어요. → На день рождения едят лапшу (куксу).
맵다,maepda,**맵다** 이 음식은 너무 매워요. → Эта еда слишком острая.
달다,dalda,**달다** 이 케이크는 너무 달아요. → Этот торт слишком сладкий.
짜다,jjada,**짜다** 국이 좀 짜요. → Суп немного солёный.
시다,sida,**시다** 이 레몬은 아주 셔요. → Этот лимон очень кислый.
굽다,gupda,**굽다** 고기를 불에 구워요. → Я жарю мясо на огне.
끓이다,kkeurida,**끓이다** 라면을 끓여요. → Я варю рамён.
볶다,bokda,**볶다** 채소를 기름에 볶아요. → Я обжариваю овощи на масле.
튀기다,twigida,**튀기다** 닭고기를 기름에 튀겨요. → Я жарю курицу во фритюре.
요리하다,yorihada,**요리하다** 주말에는 제가 요리해요. → По выходным готовлю я.
접시,jeopsi,**접시** 접시에 과일을 담았어요. → Я выложил фрукты на тарелку.
그릇,geureut,**그릇** 그릇에 밥을 가득 담았어요. → Я наполнил миску рисом доверху.
컵,keop,"**컵** 컵에 물을 따라 주세요. → Налейте, пожалуйста, воды в стакан."
